SubjectID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x12,x14,x16,x17,L_a1,L_a2,L_a3,L_a4,L_a5,L_a6,L_a7,L_a8,L_a9,L_d1,L_d2,L_d3,L_d4,L_d5,L_d6,L_d7,L_d8,L_theta1,L_theta2,R_a1,R_a2,R_a3,R_a4,R_a5,R_a6,R_a7,R_a8,R_a9,R_d1,R_d2,R_d3,R_d4,R_d5,R_d6,R_d7,R_d8,R_theta1,R_theta2
nh159,15.2,21.2,19.4,2.16,1.495,10.4,4.6,9.8,26.4,40.3,175,56,100,1.05,0.66,0.7,0.82,0.6,1.3,2.02,0.7,1.1,1.9,0.69,1.5,1.9,6.15,2.94,0.6,1.09,0.279252680319,0.454078820833,1.46,0.87,0.7,0.9,0.64,1.75,2.3,0.75,1.15,1.72,0.79,1.68,1.92,6.3,3.38,0.6,1.22,0.331612557879,0.601073941094
nh235,15.9,23.5,20.9,1.7,1.32,11.4,4.2,11.4,31.7,43.2,188,60,101.5,1.45,0.68,0.8,0.5,0.7,2.1,1.95,0.63,1.98,1.9,1,1.6,2.5,6.85,3.7,0.65,1.58,0.436332312999,1.13162593747,1.65,0.8,0.95,0.54,0.54,1.65,2.12,0.6,1.08,2.2,0.94,1.71,2.69,7.2,3.25,0.82,1.48,0.331612557879,1.01373942668
nh236,15.5,22.4,19.9,2.25,2.09,1.2,3.1,11.7,28.7,45.8,169,59.5,117,2.11,0.75,0.58,0.7,0.5,2.1,2.05,0.71,1.34,2.08,0.96,1.55,2.32,7.1,2.98,0.54,1.53,0.418879020479,0.913295055766,2.3,2.82,0.44,0.39,0.7,1.82,2.1,0.69,1.24,2.08,1.04,1.94,2.51,7.35,3.51,0.54,1.8,0.471238898038,1.06795311587
nh240,15.3,23.3,20.3,2.015,2.61,13.3,2.05,11.7,28.4,42.1,179,59,111,1.82,0.65,0.6,0.95,0.72,1.58,1.94,0.65,1.15,1.7,0.72,1.45,0.68,6.38,2.86,0.6,1.43,1.1344640138,0.886179162482,2.26,0.75,0.62,0.98,0.62,2.42,2.7,0.78,1.25,1.9,0.8,1.35,1.96,6.3,3,0.69,1.38,1.29154364648,0.992573362556
nh241,15,23.6,18.8,2.6,3.07,12,5.6,10.8,34.3,43.5,193,58,107,1.84,0.6,0.7,0.82,0.6,1.97,2,0.42,1.18,2,1.18,1.72,1.94,6.45,3.5,0.65,1.45,1.2217304764,0.966016773982,1.74,0.75,0.64,0.93,0.64,2.06,1.65,0.65,1.18,1.9,0.9,1.8,1.56,6.4,3,0.7,1.32,1.15191730632,1.07475264843
nh242,14.6,21.5,19.8,2,1.625,10.8,5.2,12.1,30.9,44.5,182,57,112,1.62,0.7,0.68,0.6,0.52,1.42,1.98,0.69,1.2,1.87,1.2,1.9,2.18,6.61,3.4,0.55,1.62,1.15191730632,1.02164342412,1.54,0.78,0.68,0.45,0.5,2,2.12,0.72,1.21,1.92,0.9,1.62,2.34,6.9,3.5,0.6,1.68,1.29154364648,1.12057073053
nh249,15.6,20,20.6,1.525,1.275,12.2,1.7,12,34.6,45.2,176,60,118,2,0.75,0.75,0.65,0.57,1.4,1.72,0.5,1.3,1.78,1.1,1.7,1.74,7.11,3.31,0.56,1.6,1.1344640138,0.933247528656,2,0.8,0.8,0.82,0.65,1.39,1.7,0.5,1.25,1.8,1,1.94,1.89,6.6,3.38,0.7,1.43,1.25663706144,0.971343841953
nh252,16,22.7,21,2.605,2.175,13.2,7,9.8,36.9,45.8,193,61,118,1.95,0.8,0.8,0.72,0.48,1.59,1.6,0.5,0.94,2,1.05,1.62,0.75,6.62,3.12,0.62,1.8,0.436332312999,0.87733682228,1.88,0.9,0.7,0.8,0.6,2.49,1.8,0.65,1.22,2.2,1.94,1.55,1.9,6.85,3.19,0.62,1.45,0.488692190558,1.03729872797
nh253,15,21.7,18.5,2.63,-0.755,9.1,3.5,11.2,26,37.8,160,56,96,1.78,0.57,0.54,0.6,0.38,1.25,1.5,0.69,0.9,1.95,0.72,1.5,1.6,6.2,3,0.64,1.39,0.488692190558,0.980978843207,1.6,0.61,0.62,0.71,0.51,1.6,1.79,0.36,0.88,1.86,0.8,1.53,1.24,5.6,2.8,0.6,1.1,0.354301838155,1.05228392603
nh257,14.6,21.6,18.6,2.7,1.075,10.8,5.3,9.3,26.6,38,164.5,54,95,1.59,0.66,0.56,0.69,0.42,1.52,1.68,0.58,1,1.76,0.8,1.59,1.5,5.7,2.62,0.42,1.21,0.610865238198,1.05604686228,1.55,0.69,0.6,0.69,0.62,1.58,1.41,0.4,0.98,1.6,0.8,1.25,1.7,5.8,2.81,0.51,1.2,0.541052068118,1.0316346875
nh258,14.8,19.5,19.1,1.365,2.225,9.8,4.1,9.4,26.8,35.4,163,56,95,1.68,0.63,0.38,0.6,0.5,1.36,1.5,0.48,1.14,1.94,0.76,1.3,1.48,5.85,2.58,0.51,1.55,0.349065850399,0.890408917194,1.65,0.62,0.42,0.51,0.6,1.4,1.39,0.51,1.13,1.9,0.69,1.5,1.5,5.92,2.84,0.53,1.12,0.418879020479,0.954499389399
nh259,15.8,21.7,17.9,1.92,1.65,10.8,4.5,10.2,29,40.6,163,55,99,1.8,0.64,0.5,0.6,0.61,1.29,1.65,0.66,1.28,2.05,0.85,1.12,1.42,6.1,2.53,0.65,1.4,0.331612557879,1.00250947813,1.81,0.61,0.68,0.92,0.9,1.7,1.7,0.61,1.1,2,0.69,1.48,0.9,6.2,2.42,0.5,1.62,0.366519142919,1.00963291451
nh709,16.2,23.5,20.5,1.15,-0.7,11.8,4.9,10,26.6,41.4,170,59.5,104,1.6,0.6,0.6,0.75,0.5,1.42,0.62,0.43,0.95,1.94,0.6,2.11,1.38,5.6,3.3,0.72,0.85,0.558505360638,1.01325521211,1.35,0.7,0.7,0.75,0.55,1.35,1.08,0.6,1.05,1.82,0.55,2.02,1.2,5.6,2.69,0.88,1.15,0.436332312999,0.977046660084
nh710,14.7,24.3,20.3,1.1,1.045,11.3,5.4,11.5,29.9,43.4,175,58.5,105.5,2.21,1.79,0.58,0.74,0.58,1.42,1.2,0.55,1.32,2.2,0.84,1.89,2.27,7.31,3.31,0.65,1.35,0.506145483078,0.858949453886,2.15,0.62,0.64,0.59,0.8,1.74,1.87,0.83,0.96,2.08,0.86,3,2.3,7.08,3.59,0.72,1.4,0.506145483078,0.978609647245
nh711,14.3,22.2,20.7,1.675,2.29,11.1,5.7,10.6,28.9,42,186,58,103,1.5,0.87,0.84,0.69,0.59,1.94,2.22,0.65,1.3,1.9,0.82,1.79,2.08,6.45,2.94,0.67,1.56,0.506145483078,1.1380313446,1.82,0.8,0.68,0.7,0.6,2.05,1.64,0.69,1.1,1.8,0.63,1.74,2.18,6.5,3.35,0.7,1.49,0.541052068118,0.985983505092
nh719,14.6,22,20.3,1.315,0.93,11,6.5,10.8,31,43.5,176,58,106,1.64,0.62,0.79,0.86,0.59,2.45,2.1,0.58,1.1,2.14,0.85,1.52,1.33,6.15,2.89,0.68,1.38,0.453785605519,0.904827089416,1.7,0.95,1.04,0.95,0.54,2.24,2.55,0.5,1.19,2.14,0.72,0.94,1.62,6.4,2.92,0.75,1.6,0.471238898038,0.930012602617
nh720,15.2,23.8,20.4,2.925,1.835,12.2,6.1,14.7,31.6,43.8,194,58,107,1.84,0.64,0.6,1.1,0.55,2.15,2.2,0.83,1.21,2.12,0.9,1.7,2.1,6.4,2.61,0.8,0.93,0.366519142919,0.945406127223,1.8,0.7,0.7,0.86,0.6,2.34,1.99,0.8,1.13,2,0.8,1.79,1.9,6.78,2.94,0.8,0.6,0.593411945678,0.961990482934
